job_id,job_title,company,sector,location,country,remote_type,experience_level,salary_usd_annual,required_skills,primary_llm_mentioned,education_required,date_posted,job_description_length,applies_count,visa_sponsorship,years_experience_min,company_size,is_contract,has_equity
AIJOB00001,Prompt Engineer,Palantir,Tech,"Amsterdam, Netherlands",Netherlands,Remote,Entry (0-2 yrs),76258,"dbt, Weights & Biases, JAX",Grok,Bachelor's,2024-03-12,1195,962,No,0,1-50,Full-time,No
AIJOB00002,RAG Engineer,Mistral AI,Automotive,"Paris, France",France,Remote,Staff/Principal (8+ yrs),195022,"FastAPI, Rust, Hugging Face Transformers",None,Bachelor's,2024-05-22,1678,428,Yes,6,1-50,Full-time,Yes
AIJOB00003,Computer Vision Engineer,Adobe Firefly,Retail,"Bangalore, India",India,Hybrid,Entry (0-2 yrs),78160,"Weaviate, AWS SageMaker, C++",Falcon,PhD,2024-07-12,487,2718,Yes,0,201-1000,Part-time,No
AIJOB00004,Prompt Engineer,Baidu,Finance,"Amsterdam, Netherlands",Netherlands,Hybrid,Staff/Principal (8+ yrs),254829,"Hugging Face Transformers, Azure ML, OpenAI API, dbt, Docker",None,Master's,2025-03-03,1000,2197,No,6,51-200,Full-time,Yes
AIJOB00005,RAG Engineer,Scale AI,Automotive,"Austin, TX",TX,On-site,Mid (2-5 yrs),105363,"Kubernetes, C++, PyTorch",None,Bachelor's,2025-02-01,1588,880,No,2,1001-5000,Contract,No
AIJOB00006,AI Research Scientist,IBM Watson,Education,"Berlin, Germany",Germany,Remote,Senior (5-8 yrs),143678,"Docker, Weights & Biases, ChromaDB, Fine-tuning, C++, RAG, Azure ML",Gemini,Bachelor's,2024-10-14,492,3537,Yes,4,51-200,Contract,Yes
AIJOB00007,LLM Engineer,Accenture AI,Automotive,"Chicago, IL",IL,Hybrid,Staff/Principal (8+ yrs),256851,"Docker, Weaviate, Python, dbt, Weights & Biases, LangChain, Rust",None,PhD,2024-08-27,1693,466,No,6,51-200,Full-time,No
AIJOB00008,Computer Vision Engineer,Salesforce Einstein,Energy,"Dublin, Ireland",Ireland,On-site,Mid (2-5 yrs),125195,"C++, Spark, Pinecone, SQL, OpenAI API",Gemini,Bootcamp/Self-taught,2025-03-21,1627,2011,Yes,2,201-1000,Contract,No
AIJOB00009,NLP Engineer,Accenture AI,Energy,"New York, NY",NY,Remote,Mid (2-5 yrs),100704,"TensorFlow, Weights & Biases, Vector Databases",None,PhD,2024-10-17,825,2712,No,2,5000+,Full-time,No
AIJOB00010,AI Platform Engineer,Morgan Stanley AI,Energy,Singapore,Singapore,On-site,Staff/Principal (8+ yrs),219532,"MLflow, AWS SageMaker, RAG, dbt",Command R,Master's,2025-01-21,1315,930,Yes,6,1-50,Full-time,Yes
AIJOB00011,GenAI Developer,Nvidia,Automotive,"Seattle, WA",WA,Hybrid,Entry (0-2 yrs),64160,"TensorFlow, JAX, PyTorch, CUDA",Phi,Master's,2024-01-31,1177,2218,Yes,0,5000+,Full-time,Yes
AIJOB00012,AI Infrastructure Engineer,ByteDance,Finance,Singapore,Singapore,Remote,Staff/Principal (8+ yrs),183233,"Azure ML, Fine-tuning, CUDA, RLHF, Weights & Biases, PyTorch",None,Bachelor's,2024-12-03,1689,3289,Maybe,6,51-200,Full-time,No
AIJOB00013,AI Research Scientist,Meta AI,Tech,"Toronto, Canada",Canada,Remote,Staff/Principal (8+ yrs),208710,"RLHF, Rust, CUDA",None,Master's,2024-05-07,360,3979,Yes,6,51-200,Full-time,No
AIJOB00014,MLOps Engineer,SAP AI,Energy,"New York, NY",NY,Remote,Staff/Principal (8+ yrs),131121,"Docker, Rust, CUDA, RLHF, AWS SageMaker, Fine-tuning",None,Master's,2024-01-02,2293,644,Yes,6,51-200,Part-time,No
AIJOB00015,RAG Engineer,Anthropic,Defense,"Austin, TX",TX,Remote,Entry (0-2 yrs),50000,"Pinecone, CUDA, JAX, Hugging Face Transformers, PyTorch, C++",Gemini,Bachelor's,2024-10-26,1263,1663,Yes,0,5000+,Full-time,No
AIJOB00016,AI Platform Engineer,Baidu,Automotive,"Los Angeles, CA",CA,Hybrid,Entry (0-2 yrs),62915,"GCP Vertex AI, Docker, OpenAI API, dbt, MLflow, JAX, Kubernetes",Gemini,Master's,2024-10-16,597,48,No,0,5000+,Part-time,Yes
AIJOB00017,MLOps Engineer,Goldman Sachs AI,Energy,"Berlin, Germany",Germany,On-site,Senior (5-8 yrs),122653,"JAX, Kubernetes, Azure ML",Command R,PhD,2025-03-27,2466,42,No,4,5000+,Full-time,No
AIJOB00018,AI Research Scientist,IBM Watson,Education,"London, UK",UK,On-site,Senior (5-8 yrs),158484,"LlamaIndex, Docker, AWS SageMaker, SQL, OpenAI API, MLflow, GCP Vertex AI",Mistral,Bachelor's,2025-01-15,508,388,No,4,201-1000,Full-time,Yes
AIJOB00019,AI Research Scientist,Adobe Firefly,Energy,"Toronto, Canada",Canada,Hybrid,Senior (5-8 yrs),125483,"Weaviate, Python, LangChain, TensorFlow, MLflow, LlamaIndex",Falcon,Bachelor's,2024-10-09,822,181,No,4,1-50,Contract,Yes
AIJOB00020,GenAI Developer,Google DeepMind,Healthcare,"Boston, MA",MA,Hybrid,Entry (0-2 yrs),52204,"SQL, Weights & Biases, LlamaIndex, Kubernetes, Hugging Face Transformers, FastAPI",None,PhD,2025-03-28,1660,3214,Maybe,0,51-200,Full-time,No
AIJOB00021,Prompt Engineer,JPMorgan AI,Retail,"New York, NY",NY,On-site,Staff/Principal (8+ yrs),252763,"C++, RLHF, Azure ML, AWS SageMaker",None,Bachelor's,2024-04-23,1091,1642,No,6,1-50,Part-time,Yes
AIJOB00022,Foundation Model Engineer,OpenAI,Finance,"Stockholm, Sweden",Sweden,Remote,Staff/Principal (8+ yrs),191872,"JAX, Docker, Hugging Face Transformers",Mistral,Master's,2024-01-15,1715,2994,No,6,1001-5000,Full-time,No
AIJOB00023,Deep Learning Engineer,SAP AI,Retail,"Amsterdam, Netherlands",Netherlands,Remote,Mid (2-5 yrs),111337,"Pinecone, Rust, Weaviate",None,Master's,2024-08-11,586,3896,No,2,201-1000,Full-time,No
AIJOB00024,Prompt Engineer,Baidu,Healthcare,"Dublin, Ireland",Ireland,Remote,Senior (5-8 yrs),111531,"RAG, MLflow, AWS SageMaker, Weaviate, LlamaIndex",BLOOM,Master's,2024-07-28,1532,1673,No,4,1-50,Full-time,Yes
AIJOB00025,AI Safety Researcher,SAP AI,Healthcare,"Bangalore, India",India,Remote,Senior (5-8 yrs),135301,"Pinecone, Vector Databases, Rust, JAX",None,Master's,2024-12-11,1462,2121,No,4,5000+,Full-time,No
AIJOB00026,GenAI Developer,DataBricks,Media,"Paris, France",France,On-site,Senior (5-8 yrs),152994,"PyTorch, Kubernetes, Vector Databases",Claude,PhD,2024-03-16,1096,2952,No,4,1001-5000,Full-time,Yes
AIJOB00027,AI Engineer,Baidu,Energy,"Los Angeles, CA",CA,Remote,Entry (0-2 yrs),55497,"RLHF, PyTorch, Weaviate, Kubernetes, LangChain, JAX, LlamaIndex",None,Bootcamp/Self-taught,2025-02-15,1599,3901,No,0,1001-5000,Full-time,No
AIJOB00028,Foundation Model Engineer,IBM Watson,Education,"Stockholm, Sweden",Sweden,Remote,Staff/Principal (8+ yrs),213525,"RLHF, Docker, FastAPI, Kubernetes, Spark, CUDA",None,Master's,2024-03-22,1424,1811,Yes,6,201-1000,Full-time,Yes
AIJOB00029,RAG Engineer,DataBricks,Media,"Berlin, Germany",Germany,Remote,Entry (0-2 yrs),62431,"MLflow, OpenAI API, TensorFlow, Fine-tuning",Phi,Bachelor's,2024-07-15,2020,1605,Maybe,0,5000+,Part-time,Yes
AIJOB00030,AI Safety Researcher,Deloitte AI,Defense,"Tel Aviv, Israel",Israel,Remote,Staff/Principal (8+ yrs),189499,"FastAPI, RAG, CUDA, JAX, C++",Phi,PhD,2024-06-29,2299,908,No,6,1001-5000,Full-time,Yes
AIJOB00031,Deep Learning Engineer,JPMorgan AI,Education,"Bangalore, India",India,On-site,Mid (2-5 yrs),98086,"Python, RAG, ChromaDB, C++, dbt, JAX, TensorFlow",Gemini,Bachelor's,2024-11-14,1365,1562,No,2,1001-5000,Full-time,No
AIJOB00032,Deep Learning Engineer,Accenture AI,Tech,"Los Angeles, CA",CA,Remote,Senior (5-8 yrs),200011,"Python, Weights & Biases, Weaviate, PyTorch, Azure ML, Kubernetes",None,PhD,2024-02-11,1312,826,No,4,5000+,Full-time,Yes
AIJOB00033,Prompt Engineer,Amazon AWS AI,Automotive,"Bangalore, India",India,Hybrid,Mid (2-5 yrs),109732,"Hugging Face Transformers, SQL, Weights & Biases, MLflow, LangChain",None,Bachelor's,2025-01-27,405,3814,No,2,1001-5000,Full-time,No
AIJOB00034,LLM Engineer,Anthropic,Energy,"London, UK",UK,Hybrid,Mid (2-5 yrs),89057,"Rust, LangChain, JAX, ChromaDB, PyTorch, Azure ML, Weaviate",Falcon,Master's,2024-06-03,351,3489,No,2,1001-5000,Full-time,No
AIJOB00035,Reinforcement Learning Engineer,Hugging Face,Government,"Los Angeles, CA",CA,Remote,Mid (2-5 yrs),126286,"SQL, Rust, Weaviate, FastAPI, Vector Databases",Grok,PhD,2024-09-24,654,1152,Maybe,2,51-200,Contract,No
AIJOB00036,Deep Learning Engineer,Morgan Stanley AI,Defense,"San Francisco, CA",CA,Hybrid,Senior (5-8 yrs),117037,"Vector Databases, OpenAI API, Azure ML, Rust",Mistral,PhD,2024-06-15,1431,2286,Yes,4,51-200,Full-time,No
AIJOB00037,AI Infrastructure Engineer,Cohere,Defense,"Tel Aviv, Israel",Israel,Hybrid,Mid (2-5 yrs),114135,"Rust, Python, TensorFlow, AWS SageMaker, Kubernetes, RAG",None,Master's,2024-09-08,2474,1418,No,2,5000+,Full-time,No
AIJOB00038,Computer Vision Engineer,Samsung AI,Healthcare,"Amsterdam, Netherlands",Netherlands,Remote,Senior (5-8 yrs),97088,"GCP Vertex AI, LangChain, Weights & Biases, Weaviate",None,Bachelor's,2025-01-04,2283,1142,No,4,5000+,Full-time,No
AIJOB00039,MLOps Engineer,Salesforce Einstein,Automotive,"Paris, France",France,Remote,Senior (5-8 yrs),114138,"MLflow, Weaviate, LlamaIndex",GPT-4,Master's,2024-06-03,817,2622,Maybe,4,1001-5000,Full-time,Yes
AIJOB00040,NLP Engineer,Scale AI,Education,"Tel Aviv, Israel",Israel,Remote,Staff/Principal (8+ yrs),207087,"Docker, CUDA, Vector Databases",Claude,Bachelor's,2024-04-04,519,631,Yes,6,5000+,Part-time,Yes
AIJOB00041,GenAI Developer,Cohere,Defense,"Stockholm, Sweden",Sweden,Hybrid,Entry (0-2 yrs),79304,"Rust, SQL, Kubernetes, FastAPI, Pinecone, RAG, RLHF",None,Bootcamp/Self-taught,2024-11-06,1550,2339,No,0,5000+,Part-time,Yes
AIJOB00042,MLOps Engineer,Snowflake,Automotive,"Amsterdam, Netherlands",Netherlands,Hybrid,Mid (2-5 yrs),113393,"Hugging Face Transformers, Weaviate, TensorFlow, Python",Grok,Bachelor's,2024-03-21,1480,2905,No,2,1001-5000,Full-time,Yes
AIJOB00043,Computer Vision Engineer,Tesla AI,Defense,"Los Angeles, CA",CA,Remote,Mid (2-5 yrs),107710,"Docker, C++, LlamaIndex, TensorFlow",Mistral,Bootcamp/Self-taught,2024-04-25,2098,519,No,2,201-1000,Full-time,No
AIJOB00044,Foundation Model Engineer,Adobe Firefly,Tech,"Bangalore, India",India,Remote,Staff/Principal (8+ yrs),189160,"Weights & Biases, GCP Vertex AI, SQL, Docker, Python, TensorFlow",Grok,Bootcamp/Self-taught,2024-01-21,1403,2370,Yes,6,51-200,Full-time,No
AIJOB00045,Computer Vision Engineer,JPMorgan AI,Healthcare,"Zurich, Switzerland",Switzerland,Remote,Mid (2-5 yrs),80725,"TensorFlow, Vector Databases, Azure ML, Fine-tuning, GCP Vertex AI, FastAPI",None,Master's,2025-02-20,2329,1190,No,2,1001-5000,Contract,No
AIJOB00046,Reinforcement Learning Engineer,Apple ML,Energy,"Austin, TX",TX,Remote,Entry (0-2 yrs),60929,"CUDA, Pinecone, C++, Python, dbt, Weaviate",GPT-4,Master's,2024-02-29,2341,2571,No,0,1-50,Full-time,No
AIJOB00047,NLP Engineer,Nvidia,Finance,"Tel Aviv, Israel",Israel,Remote,Staff/Principal (8+ yrs),183417,"Rust, Kubernetes, MLflow, Hugging Face Transformers, AWS SageMaker, Weaviate, Python",Claude,Master's,2024-11-18,781,2663,No,6,1001-5000,Part-time,Yes
AIJOB00048,Computer Vision Engineer,Microsoft AI,Finance,"Tel Aviv, Israel",Israel,On-site,Staff/Principal (8+ yrs),238056,"Weaviate, LlamaIndex, RAG, OpenAI API, SQL, Pinecone",None,Bachelor's,2024-05-04,1999,1402,Maybe,6,5000+,Full-time,Yes
AIJOB00049,NLP Engineer,JPMorgan AI,Retail,"Berlin, Germany",Germany,Remote,Staff/Principal (8+ yrs),212370,"GCP Vertex AI, Weaviate, FastAPI, RAG, RLHF",None,Bootcamp/Self-taught,2024-09-04,1278,2352,No,6,1001-5000,Full-time,No
AIJOB00050,Deep Learning Engineer,Meta AI,Energy,"Berlin, Germany",Germany,Hybrid,Staff/Principal (8+ yrs),136530,"Pinecone, ChromaDB, GCP Vertex AI, CUDA",Command R,Bootcamp/Self-taught,2024-01-19,362,2969,Yes,6,51-200,Full-time,No
AIJOB00051,Computer Vision Engineer,Scale AI,Government,"Tokyo, Japan",Japan,Hybrid,Senior (5-8 yrs),158750,"CUDA, GCP Vertex AI, dbt",None,Master's,2024-11-28,2298,3583,No,4,5000+,Full-time,No
AIJOB00052,NLP Engineer,OpenAI,Government,"Seattle, WA",WA,Remote,Mid (2-5 yrs),102375,"RLHF, Hugging Face Transformers, MLflow",GPT-4,PhD,2024-02-20,1501,1478,No,2,51-200,Full-time,Yes
AIJOB00053,Data Scientist (AI/ML),DataBricks,Automotive,"Toronto, Canada",Canada,Remote,Mid (2-5 yrs),96596,"SQL, dbt, Kubernetes, Vector Databases, ChromaDB, LlamaIndex",Mistral,Master's,2025-03-21,2205,3701,No,2,5000+,Full-time,Yes
AIJOB00054,AI Solutions Architect,Stability AI,Defense,"Los Angeles, CA",CA,Hybrid,Senior (5-8 yrs),166515,"OpenAI API, RAG, CUDA, Vector Databases, LangChain",Grok,Bachelor's,2024-08-21,1509,99,Maybe,4,1001-5000,Full-time,No
AIJOB00055,ML Engineer,SAP AI,Healthcare,"Sydney, Australia",Australia,Hybrid,Staff/Principal (8+ yrs),237115,"Rust, Azure ML, Kubernetes, Spark, OpenAI API, SQL, Docker",None,Master's,2024-04-27,461,1275,No,6,1-50,Full-time,No
AIJOB00056,LLM Engineer,IBM Watson,Energy,"Austin, TX",TX,Hybrid,Senior (5-8 yrs),175144,"LlamaIndex, Rust, Weaviate, JAX",None,Bootcamp/Self-taught,2024-03-30,973,1062,Maybe,4,1001-5000,Part-time,Yes
AIJOB00057,AI Product Manager,Deloitte AI,Energy,"Bangalore, India",India,On-site,Entry (0-2 yrs),59425,"CUDA, dbt, Weights & Biases, RAG",None,Master's,2024-03-13,1916,67,No,0,1-50,Full-time,No
AIJOB00058,Computer Vision Engineer,Uber AI,Automotive,"Boston, MA",MA,Remote,Staff/Principal (8+ yrs),188868,"Python, SQL, Weaviate, GCP Vertex AI, CUDA, Kubernetes",Command R,Master's,2024-04-29,777,582,Yes,6,1-50,Full-time,No
AIJOB00059,Prompt Engineer,Morgan Stanley AI,Media,"Stockholm, Sweden",Sweden,Remote,Mid (2-5 yrs),116559,"dbt, Weights & Biases, MLflow, Weaviate, Fine-tuning",Gemini,Master's,2024-08-20,2304,2531,No,2,201-1000,Full-time,Yes
AIJOB00060,Reinforcement Learning Engineer,Meta AI,Education,"Paris, France",France,On-site,Staff/Principal (8+ yrs),235119,"Weaviate, JAX, Spark, Azure ML, PyTorch",Llama,Bachelor's,2024-02-20,1168,2638,No,6,1-50,Full-time,Yes
AIJOB00061,AI Research Scientist,Deloitte AI,Defense,"Seattle, WA",WA,On-site,Mid (2-5 yrs),100512,"ChromaDB, OpenAI API, C++, CUDA",Gemini,Bachelor's,2024-10-10,892,542,No,2,51-200,Full-time,No
